date,time,month,region,salinity,site,replicate,treatment,balanus_no,chthamalus_no,digitalis_no,pelta_no,persona_no,paradigitalis_no,scutum_no,unknown_limpets_no,sitkana_no,littorina_spp_no,mytilus_pt,anemone_pt,amphipod_no,masto_crust_pt,mastocarpus_pt,hildenbrandia_pt,diatom_pt,ulva_pt,urospora_pt,pyropia_pt,fucus_pt
2011-06-29,09:30:00,July,High,23.5,HS,5,control,547.2,41.6,0,0,0,0,0,0,0,1,0,0,0,1.5625,0,0,0,0,0,0,0
2011-06-29,09:30:00,July,High,23.5,HS,5,exclusion,1046.4,0,0,0,0,0,0,0,0,0,0,0,0,3.125,0,0,0,0,0,0,0
2011-06-29,09:30:00,July,High,23.5,HS,6,exclusion,697.6,0,0,0,0,0,0,0,0,0,0,0,0,1.5625,0,0,0,0,0,0,0
2011-06-29,09:30:00,July,High,23.5,HS,6,control,116,11,0,0,0,0,0,0,0,1,0,0,0,1.5625,0,0,0,0,0,0,0
2011-06-29,09:30:00,July,High,23.5,HS,7,exclusion,480,0,0,0,0,0,0,0,0,0,0,0,0,1.5625,0,0,0,0,0,0,0
2011-06-29,09:30:00,July,High,23.5,HS,7,control,518.4,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-30,09:30:00,July,Low,11.5,HB,1,control,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-30,09:30:00,July,Low,11.5,HB,1,exclusion,1232,83.2,0,0,0,0,0,0,0,0,4.6875,0,0,0,0,0,0,0,0,0,0
2011-06-30,09:30:00,July,Low,11.5,HB,2,exclusion,531.2,105.6,0,0,0,0,0,0,0,0,0,0,0,9.375,0,0,0,0,0,0,0
2011-06-30,09:30:00,July,Low,11.5,HB,2,control,358.4,128,0,0,0,0,0,0,0,0,0,0,0,14.0625,0,0,0,0,0,0,0.78125
2011-06-30,09:30:00,July,Low,11.5,HB,3,exclusion,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-30,09:30:00,July,Low,11.5,HB,3,control,819.2,160,0,0,0,0,0,0,0,0,0,0,0,3.125,0,0,0,0,0,0,0
2011-06-30,09:30:00,July,Low,11.5,HB,4,control,832,121.6,0,0,0,0,0,0,0,0,0,0,0,4.6875,0,0,0,0,0,0,0
2011-06-30,09:30:00,July,Low,11.5,HB,4,exclusion,960,28.8,0,0,0,0,0,0,0,0,0,0,0,4.6875,0,0,0,0,0,0,0
2011-06-30,09:30:00,July,Low,11.5,HB,5,control,416,41.6,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0
2011-06-30,09:30:00,July,Low,11.5,HB,5,exclusion,947.2,204.8,0,0,0,0,0,0,0,0,0,0,0,4.6875,0,0,0,0,0,0,0
2011-06-30,09:30:00,July,Low,11.5,HB,6,exclusion,585.6,38.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5625
2011-06-30,09:30:00,July,Low,11.5,HB,6,control,208,76.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5625
2011-06-30,09:30:00,July,Low,11.5,HB,7,control,169.6,278.4,0,0,0,0,0,0,0,0,0,0,0,4.6875,0,0,0,0,0,0,0
2011-06-30,09:30:00,July,Low,11.5,HB,7,exclusion,416,502.4,0,0,0,0,0,0,0,0,0,0,0,4.6875,0,0,0,0,0,0,0
2011-06-30,12:00:00,July,Low,8.5,LB,1,exclusion,103,0,0,0,0,0,0,0,0,0,0,0,0,3.125,0,0,0,0,0,0,0
2011-06-30,12:00:00,July,Low,8.5,LB,1,control,275.2,0,0,0,0,0,0,0,0,0,0,0,0,1.5625,0,0,0,0,0,0,0
2011-06-30,12:00:00,July,Low,8.5,LB,2,control,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5625
2011-06-30,12:00:00,July,Low,8.5,LB,2,exclusion,262.4,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5625
2011-06-30,12:00:00,July,Low,8.5,LB,3,exclusion,304,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-30,12:00:00,July,Low,8.5,LB,3,control,67,0,0,0,0,0,0,0,0,0,0,0,0,1.5625,0,0,0,0,0,0,0
2011-06-30,12:00:00,July,Low,8.5,LB,4,control,473.6,3,0,0,0,0,0,0,0,0,0,0,0,4.6875,0,0,0,0,0,0,1.5625
2011-06-30,12:00:00,July,Low,8.5,LB,4,exclusion,633.6,3,0,0,0,0,0,0,0,0,0,0,0,3.125,0,0,0,0,0,0,0
2011-06-30,12:00:00,July,Low,8.5,LB,5,exclusion,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-30,12:00:00,July,Low,8.5,LB,5,control,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-30,12:00:00,July,Low,8.5,LB,6,exclusion,307.2,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-30,12:00:00,July,Low,8.5,LB,6,control,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-30,12:00:00,July,Low,8.5,LB,7,control,272,0,0,0,0,0,0,0,0,0,1.5625,0,0,0,0,0,0,0,0,0,0
2011-06-30,12:00:00,July,Low,8.5,LB,7,exclusion,323.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-06,12:30:00,July,Low,9,RS,1,control,1120,0,0,0,0,0,0,0,0,0,1.5625,0,0,0,0,0,0,0,0,0,0
2011-07-06,12:30:00,July,Low,9,RS,1,exclusion,1379.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-06,12:30:00,July,Low,9,RS,2,control,1430.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5625
2011-07-06,12:30:00,July,Low,9,RS,2,exclusion,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-06,12:30:00,July,Low,9,RS,3,exclusion,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-06,12:30:00,July,Low,9,RS,3,control,1360,0,0,0,0,0,0,0,0,0,0.78125,0,0,0,0,0,0,0,0,0,0
2011-07-06,12:30:00,July,Low,9,RS,4,exclusion,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-06,12:30:00,July,Low,9,RS,4,control,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-06,12:30:00,July,Low,9,RS,5,exclusion,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-06,12:30:00,July,Low,9,RS,5,control,1430.4,0,0,0,0,0,0,0,0,0,1.5625,0,0,0,0,0,0,0,0,0,0
2011-07-06,12:30:00,July,Low,9,RS,6,control,1248,0,0,0,0,0,0,0,0,0,1.5625,0,0,0,0,0,0,0,0,0,1.5625
2011-07-06,12:30:00,July,Low,9,RS,6,exclusion,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-06,12:30:00,July,Low,9,RS,7,control,1539.2,0,0,0,0,0,0,0,0,0,21.875,0,0,0,0,0,0,0,0,0,0
2011-07-06,12:30:00,July,Low,9,RS,7,exclusion,1360,0,0,0,0,0,0,0,0,0,1.5625,0,0,0,0,0,0,0,0,0,0
